rank,finalWorth,personName,age,country,source,industries,countryOfCitizenship,organization,selfMade,gender,title,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country,Age with Median,Age with Median (bins),Age Numerical,Age Numerical (bins),Age Bins
48,28500,Jeff Yass,64,United States,"Trading, investments",Finance & Investments,United States,Unknown,TRUE,MALE,,1958,7,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,64,60,64,60,More than 21
57,25300,Thomas Peterffy,78,United States,Discount brokerage,Finance & Investments,United States,Unknown,TRUE,MALE,,1944,9,30,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,78,75,78,75,More than 21
81,20200,"Thomas Frist, Jr. & family",84,United States,Hospitals,Healthcare,United States,Unknown,TRUE,MALE,,1938,8,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,84,80,84,80,More than 21
92,18000,Daniel Gilbert,61,United States,Quicken Loans,Finance & Investments,United States,Unknown,TRUE,MALE,,1962,1,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,61,60,61,60,More than 21
104,16200,Eric Schmidt,67,United States,Google,Technology,United States,Unknown,TRUE,MALE,,1955,4,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,67,65,67,65,More than 21
138,12900,Stanley Kroenke,75,United States,"Sports, real estate",Sports,United States,Unknown,TRUE,MALE,,1947,7,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,75,75,75,75,More than 21
144,12100,Shahid Khan,72,United States,Auto parts,Automotive,United States,Unknown,TRUE,MALE,,1950,7,18,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,72,70,72,70,More than 21
147,11600,Stephen Ross,82,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1940,5,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,82,80,82,80,More than 21
170,10300,Andrew Beal,70,United States,"Banks, real estate",Finance & Investments,United States,Unknown,TRUE,MALE,,1952,11,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,70,70,70,70,More than 21
171,10200,Jeffery Hildebrand,64,United States,Oil,Energy,United States,Unknown,TRUE,MALE,,1959,3,5,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,64,60,64,60,More than 21
182,10000,Autry Stephens,85,United States,Oil,Energy,United States,Unknown,TRUE,MALE,,1938,3,8,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,85,85,85,85,More than 21
208,9200,John Malone,82,United States,Cable television,Media & Entertainment,United States,Unknown,TRUE,MALE,,1941,3,7,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,82,80,82,80,More than 21
208,9200,Eric Smidt,63,United States,Hardware stores,Fashion & Retail,United States,Unknown,TRUE,MALE,,1960,1,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,63,60,63,60,More than 21
232,8600,Leon Black,71,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1951,7,31,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,71,70,71,70,More than 21
246,8300,John Morris,75,United States,Sporting goods retail,Fashion & Retail,United States,Unknown,TRUE,MALE,,1948,3,19,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,75,75,75,75,More than 21
249,8200,George Roberts,79,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1943,9,14,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,79,75,79,75,More than 21
261,8000,Nathan Blecharczyk,39,United States,Airbnb,Technology,United States,Unknown,TRUE,MALE,,1983,6,11,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,39,35,39,35,More than 21
268,7900,Orlando Bravo,52,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1970,9,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,52,50,52,50,More than 21
268,7900,Ramzi Musallam,54,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1968,9,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,54,50,54,50,More than 21
276,7800,Rocco Commisso,73,United States,Telecom,Telecom,United States,Unknown,TRUE,MALE,,1949,11,25,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,73,70,73,70,More than 21
282,7700,Reinhold Schmieding,68,United States,medical devices,Healthcare,United States,Unknown,TRUE,MALE,,1955,1,3,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,68,65,68,65,More than 21
305,7400,Harry Stine,81,United States,Agriculture,Food & Beverage,United States,Unknown,TRUE,MALE,,1941,11,30,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
317,7200,Arthur Dantchik,65,United States,"Trading, investments",Finance & Investments,United States,Unknown,TRUE,MALE,,1957,11,25,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,65,65,65,65,More than 21
317,7200,Jeff Greene,68,United States,"Real estate, investments",Real Estate,United States,Unknown,TRUE,MALE,,1954,12,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,68,65,68,65,More than 21
332,7000,Jack Dangermond,77,United States,Mapping software,Technology,United States,Unknown,TRUE,MALE,,1945,7,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,77,75,77,75,More than 21
332,7000,Don Vultaggio & family,71,United States,Beverages,Food & Beverage,United States,Unknown,TRUE,MALE,,1952,2,26,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,71,70,71,70,More than 21
344,6900,Igor Olenicoff,80,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1942,9,20,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,80,80,80,80,More than 21
365,6700,Ken Fisher,72,United States,Money management,Finance & Investments,United States,Unknown,TRUE,MALE,,1950,11,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,72,70,72,70,More than 21
390,6500,David Bonderman,80,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1942,11,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,80,80,80,80,More than 21
397,6400,Dennis Washington,88,United States,"Construction, mining",Logistics,United States,Unknown,TRUE,MALE,,1934,7,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,88,85,88,85,More than 21
418,6100,Tom Gores,58,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1964,7,31,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,58,55,58,55,More than 21
425,6000,Neil Bluhm,85,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1938,1,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,85,85,85,85,More than 21
425,6000,Jay Chaudhry,63,United States,Security software,Technology,United States,Unknown,TRUE,MALE,,1959,8,26,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,63,60,63,60,More than 21
425,6000,Michael Milken,76,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1946,7,4,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,76,75,76,75,More than 21
425,6000,David Steward,71,United States,IT provider,Technology,United States,Unknown,TRUE,MALE,,1951,7,2,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,71,70,71,70,More than 21
425,6000,Les Wexner & family,85,United States,Retail,Fashion & Retail,United States,Unknown,TRUE,MALE,,1937,9,8,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,85,85,85,85,More than 21
437,5900,Antony Ressler,62,United States,Finance,Finance & Investments,United States,Unknown,TRUE,MALE,,1960,10,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,62,60,62,60,More than 21
442,5800,Josh Harris,58,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1964,12,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,58,55,58,55,More than 21
442,5800,Patrick Soon-Shiong,70,United States,Pharmaceuticals,Healthcare,United States,Unknown,TRUE,MALE,,1952,7,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,70,70,70,70,More than 21
445,5700,John Brown,88,United States,Medical equipment,Healthcare,United States,Unknown,TRUE,MALE,,1934,9,15,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,88,85,88,85,More than 21
455,5600,Ken Langone,87,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1935,9,16,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,87,85,87,85,More than 21
466,5500,Archie Aldis Emmerson & family,93,United States,"Timberland, lumber mills",Manufacturing,United States,Unknown,TRUE,MALE,,1929,4,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,93,90,93,90,More than 21
466,5500,Mitchell Rales,66,United States,"Manufacturing, investments",Manufacturing,United States,Unknown,TRUE,MALE,,1956,8,21,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,66,65,66,65,More than 21
497,5300,Todd Boehly,49,United States,Finance,Finance & Investments,United States,Unknown,TRUE,MALE,,1973,9,20,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,49,45,49,45,More than 21
497,5300,Rick Caruso,64,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1959,1,7,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,64,60,64,60,More than 21
497,5300,Stewart Resnick,86,United States,Agriculture,Food & Beverage,United States,Unknown,TRUE,MALE,,1936,12,24,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,86,85,86,85,More than 21
497,5300,Ronald Wanek,81,United States,Furniture,Manufacturing,United States,Unknown,TRUE,MALE,,1941,5,19,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
511,5200,Robert Faith,59,United States,Real estate management,Real Estate,United States,Unknown,TRUE,MALE,,1963,10,3,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,59,55,59,55,More than 21
511,5200,Charles Simonyi,74,United States,Microsoft,Technology,United States,Unknown,TRUE,MALE,,1948,9,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,74,70,74,70,More than 21
511,5200,Ty Warner,78,United States,"Plush toys, real estate",Real Estate,United States,Unknown,TRUE,MALE,,1944,9,3,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,78,75,78,75,More than 21
511,5200,Sam Zell,81,United States,"Real estate, private equity",Real Estate,United States,Unknown,TRUE,MALE,,1941,9,28,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
523,5100,Sami Mnaymneh,61,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1961,7,13,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,61,60,61,60,More than 21
523,5100,Tony Tamer,65,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1957,10,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,65,65,65,65,More than 21
534,5000,Ron Baron,79,United States,Money management,Finance & Investments,United States,Unknown,TRUE,MALE,,1943,5,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,79,75,79,75,More than 21
534,5000,"Robert Hale, Jr.",56,United States,Telecom,Telecom,United States,Unknown,TRUE,MALE,,1966,7,8,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,56,55,56,55,More than 21
534,5000,George Lucas,78,United States,Star Wars,Media & Entertainment,United States,Unknown,TRUE,MALE,,1944,5,14,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,78,75,78,75,More than 21
552,4900,Tom Golisano,81,United States,Payroll services,Service,United States,Unknown,TRUE,MALE,,1941,11,14,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
552,4900,Jonathan Gray,53,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1970,2,4,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,53,50,53,50,More than 21
552,4900,Dan Snyder,58,United States,Washington Commanders,Sports,United States,Unknown,TRUE,MALE,,1964,11,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,58,55,58,55,More than 21
552,4900,Kelcy Warren,67,United States,Pipelines,Energy,United States,Unknown,TRUE,MALE,,1955,11,9,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,67,65,67,65,More than 21
580,4700,Thomas Secunda,68,United States,Bloomberg LP,Media & Entertainment,United States,Unknown,TRUE,MALE,,1954,6,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,68,65,68,65,More than 21
580,4700,Tim Sweeney,52,United States,Video games,Media & Entertainment,United States,Unknown,TRUE,MALE,,1970,12,13,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,52,50,52,50,More than 21
591,4600,Bert Beveridge,61,United States,Vodka,Food & Beverage,United States,Unknown,TRUE,MALE,,1962,1,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,61,60,61,60,More than 21
591,4600,Barry Sternlicht,62,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1960,11,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,62,60,62,60,More than 21
591,4600,Russ Weiner,52,United States,Energy drinks,Food & Beverage,United States,Unknown,TRUE,MALE,,1970,5,5,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,52,50,52,50,More than 21
611,4500,Joseph Liemandt,54,United States,Software,Technology,United States,Unknown,TRUE,MALE,,1968,8,5,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,54,50,54,50,More than 21
611,4500,Marc Rowan,60,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1962,8,19,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,60,60,60,60,More than 21
624,4400,Neal Blue & family,88,United States,Defense,Manufacturing,United States,Unknown,TRUE,MALE,,1935,4,4,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,88,85,88,85,More than 21
624,4400,Jim Davis,63,United States,Staffing & recruiting,Service,United States,Unknown,TRUE,MALE,,1960,3,13,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,63,60,63,60,More than 21
636,4300,Behdad Eghbali,46,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1976,5,6,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,46,45,46,45,More than 21
636,4300,Jose E. Feliciano,49,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1973,5,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,49,45,49,45,More than 21
636,4300,Jay Paul,75,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1947,7,8,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,75,75,75,75,More than 21
636,4300,Herbert Wertheim,83,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1939,5,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,83,80,83,80,More than 21
659,4200,Min Kao & family,74,United States,Navigation equipment,Technology,United States,Unknown,TRUE,MALE,,1949,1,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,74,70,74,70,More than 21
659,4200,Jeff Skoll,58,United States,EBay,Technology,United States,Unknown,TRUE,MALE,,1965,1,16,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,58,55,58,55,More than 21
679,4100,Nick Caporella,87,United States,Beverages,Food & Beverage,United States,Unknown,TRUE,MALE,,1936,1,15,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,87,85,87,85,More than 21
679,4100,John Catsimatidis,74,United States,"Oil, real estate",Energy,United States,Unknown,TRUE,MALE,,1948,9,7,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,74,70,74,70,More than 21
679,4100,Scott Cook,70,United States,Software,Technology,United States,Unknown,TRUE,MALE,,1952,7,26,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,70,70,70,70,More than 21
679,4100,Arturo Moreno,76,United States,"Billboards, Los Angeles Angels",Sports,United States,Unknown,TRUE,MALE,,1946,8,14,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,76,75,76,75,More than 21
679,4100,Donald Sterling,88,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1934,4,26,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,88,85,88,85,More than 21
679,4100,Ken Xie,60,United States,Cybersecurity,Technology,United States,Unknown,TRUE,MALE,,1963,1,26,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,60,60,60,60,More than 21
699,4000,Ben Chestnut,48,United States,Email marketing,Technology,United States,Unknown,TRUE,MALE,,1974,6,15,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,48,45,48,45,More than 21
699,4000,John Henry,73,United States,Sports,Sports,United States,Unknown,TRUE,MALE,,1949,9,13,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,73,70,73,70,More than 21
699,4000,Dan Kurzius,51,United States,Email marketing,Technology,United States,Unknown,TRUE,MALE,,1971,12,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,51,50,51,50,More than 21
699,4000,Steven Spielberg,76,United States,Movies,Media & Entertainment,United States,Unknown,TRUE,MALE,,1946,12,18,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,76,75,76,75,More than 21
721,3900,Mark Stevens,63,United States,Venture capital,Finance & Investments,United States,Unknown,TRUE,MALE,,1960,2,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,63,60,63,60,More than 21
748,3800,Barry Diller,81,United States,Online media,Media & Entertainment,United States,Unknown,TRUE,MALE,,1942,2,2,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
748,3800,Wesley Edens,61,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1961,10,31,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,61,60,61,60,More than 21
748,3800,Rakesh Gangwal,69,United States,Airline,Service,United States,Unknown,TRUE,MALE,,1953,7,25,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,69,65,69,65,More than 21
748,3800,Joseph Grendys,61,United States,Poultry processing,Food & Beverage,United States,Unknown,TRUE,MALE,,1961,12,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,61,60,61,60,More than 21
748,3800,Trevor Rees-Jones,71,United States,Oil & gas,Energy,United States,Unknown,TRUE,MALE,,1951,8,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,71,70,71,70,More than 21
748,3800,Richard Uihlein,77,United States,Packaging materials,Manufacturing,United States,Unknown,TRUE,MALE,,1945,8,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,77,75,77,75,More than 21
766,3700,Hayes Barnard,51,United States,Fintech,Finance & Investments,United States,Unknown,TRUE,MALE,,1972,2,15,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,51,50,51,50,More than 21
766,3700,Brad Jacobs,66,United States,Logistics,Logistics,United States,Unknown,TRUE,MALE,,1956,7,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,66,65,66,65,More than 21
766,3700,Jim Kavanaugh,60,United States,IT provider,Technology,United States,Unknown,TRUE,MALE,,1962,10,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,60,60,60,60,More than 21
766,3700,Howard Schultz,69,United States,Starbucks,Food & Beverage,United States,Unknown,TRUE,MALE,,1953,7,19,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,69,65,69,65,More than 21
787,3600,Jim Coulter,63,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1959,12,1,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,63,60,63,60,More than 21
787,3600,Jerry Speyer & family,82,United States,Real estate,Real Estate,United States,Unknown,TRUE,MALE,,1940,6,23,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,82,80,82,80,More than 21
818,3500,Daniel D'Aniello,76,United States,Private equity,Finance & Investments,United States,Unknown,TRUE,MALE,,1946,9,14,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,76,75,76,75,More than 21
818,3500,Peter Gassner,58,United States,Software,Technology,United States,Unknown,TRUE,MALE,,1965,2,26,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,58,55,58,55,More than 21
818,3500,Ira Rennert,88,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1934,5,31,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,88,85,88,85,More than 21
818,3500,Thomas Siebel,70,United States,Business software,Technology,United States,Unknown,TRUE,MALE,,1952,11,22,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,70,70,70,70,More than 21
818,3500,Michael Xie,54,United States,Cybersecurity,Technology,United States,Unknown,TRUE,MALE,,1969,2,20,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,54,50,54,50,More than 21
852,3400,Bob Parsons,72,United States,Web hosting,Technology,United States,Unknown,TRUE,MALE,,1950,11,27,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,72,70,72,70,More than 21
852,3400,J. Joe Ricketts & family,81,United States,TD Ameritrade,Finance & Investments,United States,Unknown,TRUE,MALE,,1941,7,16,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
852,3400,Charles Zegar,75,United States,Bloomberg LP,Media & Entertainment,United States,Unknown,TRUE,MALE,,1948,2,29,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,75,75,75,75,More than 21
878,3300,Bill Austin,81,United States,Hearing aids,Manufacturing,United States,Unknown,TRUE,MALE,,1942,2,25,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,81,80,81,80,More than 21
878,3300,Pablo Legorreta,59,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1963,10,30,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,59,55,59,55,More than 21
878,3300,Phil Ruffin,88,United States,"Casinos, real estate",Diversified,United States,Unknown,TRUE,MALE,,1935,3,17,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,88,85,88,85,More than 21
905,3200,Hamilton James & family,71,United States,Investments,Finance & Investments,United States,Unknown,TRUE,MALE,,1951,8,3,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,71,70,71,70,More than 21
905,3200,Roger Penske,86,United States,Cars,Automotive,United States,Unknown,TRUE,MALE,,1937,2,20,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,86,85,86,85,More than 21
905,3200,Vincent Viola,67,United States,Electronic trading,Finance & Investments,United States,Unknown,TRUE,MALE,,1956,2,12,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,67,65,67,65,More than 21
905,3200,Jon Yarbrough,65,United States,Video games,Gambling & Casinos,United States,Unknown,TRUE,MALE,,1957,5,10,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,65,65,65,65,More than 21
949,3100,Jeff T. Green,46,United States,Digital advertising,Media & Entertainment,United States,Unknown,TRUE,MALE,,1977,3,30,117.24,7.5,2.14277E+13,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,46,45,46,45,More than 21
